<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.08.15	0.58300	0.58490	0.58120	0.58420	3565	0	50
2000.08.16	0.58410	0.59180	0.58360	0.59060	4216	0	50
2000.08.17	0.59080	0.59480	0.58870	0.59280	3829	0	50
2000.08.18	0.59300	0.59470	0.58880	0.59050	2788	0	50
2000.08.20	0.59090	0.59120	0.58920	0.59050	273	0	50
2000.08.21	0.59060	0.59150	0.58760	0.58800	3207	0	50
2000.08.22	0.58840	0.59050	0.57850	0.57930	3751	0	50
2000.08.23	0.57920	0.57950	0.56670	0.57170	4860	0	50
2000.08.24	0.57160	0.57470	0.57070	0.57150	3611	0	50
2000.08.25	0.57140	0.57560	0.57040	0.57380	3188	0	50
2000.08.27	0.57330	0.57450	0.57260	0.57360	308	0	50
2000.08.28	0.57400	0.57450	0.57070	0.57320	1929	0	50
2000.08.29	0.57350	0.57550	0.56820	0.57100	3483	0	50
2000.08.30	0.57110	0.57670	0.56820	0.57510	3677	0	50
2000.08.31	0.57530	0.57940	0.57280	0.57570	3835	0	50
2000.09.01	0.57520	0.57750	0.57070	0.57620	3398	0	50
2000.09.03	0.57650	0.57850	0.57640	0.57810	181	0	50
2000.09.04	0.57810	0.57820	0.57420	0.57490	2289	0	50
2000.09.05	0.57460	0.57600	0.56640	0.56640	3989	0	50
2000.09.06	0.56630	0.56950	0.55920	0.56020	4650	0	50
2000.09.07	0.56050	0.56500	0.55260	0.55880	5497	0	50
2000.09.08	0.55890	0.56150	0.55520	0.55520	3498	0	50
2000.09.10	0.55660	0.55850	0.55550	0.55830	350	0	50
2000.09.11	0.55810	0.56250	0.55520	0.55810	4149	0	50
2000.09.12	0.55820	0.56210	0.55340	0.55340	4364	0	50
2000.09.13	0.55290	0.55810	0.55050	0.55220	3996	0	50
2000.09.14	0.55210	0.55400	0.54820	0.54920	3156	0	50
2000.09.15	0.54910	0.55200	0.54420	0.54440	2482	0	50
2000.09.17	0.54540	0.54590	0.54340	0.54370	256	0	50
2000.09.18	0.54380	0.54580	0.54020	0.54230	3404	0	50
2000.09.19	0.54250	0.54550	0.54150	0.54300	3119	0	50
2000.09.20	0.54330	0.54370	0.53630	0.53920	3699	0	50
2000.09.21	0.53930	0.54640	0.53720	0.54540	3397	0	50
2000.09.22	0.54530	0.56010	0.54190	0.54400	3383	0	50
2000.09.24	0.54920	0.54940	0.54650	0.54730	350	0	50
2000.09.25	0.54750	0.55070	0.54310	0.54870	3186	0	50
2000.09.26	0.54860	0.55180	0.54640	0.54870	3214	0	50
2000.09.27	0.54860	0.55210	0.54700	0.54930	3017	0	50
2000.09.28	0.54950	0.55120	0.54300	0.54360	3334	0	50
2000.09.29	0.54350	0.54500	0.53890	0.54350	2604	0	50
2000.10.01	0.54280	0.54440	0.54280	0.54360	164	0	50
2000.10.02	0.54310	0.54810	0.54020	0.54440	2673	0	50
2000.10.03	0.54440	0.54470	0.53680	0.53770	2558	0	50
2000.10.04	0.53780	0.53870	0.53410	0.53620	3019	0	50
2000.10.05	0.53600	0.53880	0.52900	0.53160	2894	0	50
2000.10.06	0.53110	0.53650	0.53060	0.53300	2557	0	50
2000.10.08	0.53380	0.53670	0.53370	0.53490	245	0	50
2000.10.09	0.53490	0.53750	0.53160	0.53210	2299	0	50
2000.10.10	0.53250	0.53530	0.52970	0.53460	2950	0	50
2000.10.11	0.53450	0.53760	0.53080	0.53350	3101	0	50
2000.10.12	0.53320	0.53420	0.52740	0.52860	3003	0	50
2000.10.13	0.52870	0.53350	0.52650	0.52740	2708	0	50
2000.10.15	0.52830	0.52940	0.52620	0.52640	419	0	50
2000.10.16	0.52630	0.52850	0.52180	0.52270	3119	0	50
2000.10.17	0.52250	0.52360	0.51650	0.51980	3447	0	50
